Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
France,35.584587668692,36.475055074402,40.221647893912,46.553817947167,49.886978786592,56.104009528242,59.99524062779,61.425907175019,61.350873144088,60.499686295279,58.880618970164,58.340917956053,60.258377948759,64.415398370972,65.938231909386,67.381880678745,64.610521542883,64.537231631434,68.777040524398,83.039750632868,85.255820084208,87.836534654379,90.602086169885,93.411594335697,94.88944140406,95.581760090828,97.9576380773,98.317895981355,98.06043749129,98.119806670877,118.7382567029,118.57273827971,119.95936387898,121.27115282518,122.27031655951,123.30700652673
Germany,no data,38.984613444318,41.453709034934,45.095351506948,47.536989970211,54.902433746259,57.79392936327,58.866583382199,59.534704778547,60.139404121429,59.065758217999,57.93651670395,59.703519371099,63.308916290237,64.987712815798,67.346513365759,66.70463883811,63.994238963013,65.52222863628,72.990109292522,82.381648728747,79.801043971547,81.13542732879,78.716950931047,75.66937552734,72.206973808564,69.191990404308,64.992637720638,61.63019416579,59.524593728708,73.277810262243,72.205846527116,68.492279235728,65.52589853607,62.57119803966,59.549389503506
Ghana,18.965118601279,18.470449330495,22.854715542709,37.059950281982,55.232716005587,49.060224819647,44.141402863087,46.673576130202,40.600777372704,55.759694736611,79.189915063588,61.721281701875,57.868298365239,52.69316377381,41.159128198245,33.998111430913,18.589247742044,22.643700296317,24.947681286922,26.959089771158,34.577766025635,31.425714343193,35.583380836145,43.217414082822,51.158921101123,54.829848492769,57.117418544644,58.306325116386,59.128593384397,62.762864053037,76.668420167947,74.653064694863,74.636630079503,72.393092153131,71.859856678656,71.33541760281
Greece,73.154532824466,74.682792257271,79.967710716901,100.28847670644,98.295613094589,98.989942405227,101.335442608,99.451670269893,97.42461860246,98.906487080403,104.93461808038,107.08109386704,104.86293366613,101.45608004248,102.87018108984,107.39201573965,103.57382196069,103.10277401749,109.41567833382,126.74480284928,146.2498506842,180.56399828043,159.58609652518,177.94568622892,180.21169174279,177.82497828025,181.07359253943,179.27488481568,184.75935826377,180.91470786982,205.24863581019,200.53289670403,187.33095647092,176.98972063263,169.74879745588,165.90979357088
Guinea,71.604621181218,70.856719190754,62.001051737319,68.912009170687,71.280065513452,66.533736281031,67.676707571064,67.867955506903,75.938286589118,92.250913028241,91.491823695584,90.436484195784,82.610227888134,81.572275946962,86.866168176002,97.915279991438,95.22179807227,60.800095610261,58.463416827773,61.306074557169,68.853016499212,58.082232679901,27.185383728255,33.966743326244,35.090180981206,41.937634415466,42.453038282509,40.482729858466,37.955552080158,34.497999249306,44.882857249133,45.919442530352,44.313866027514,42.916275834627,41.970774543509,40.957810615538
Haiti,no data,no data,no data,no data,no data,no data,no data,45.066667219608,41.620717561036,42.003190292269,56.149801640343,50.12278576146,54.746331220392,60.887701772137,51.202520694805,48.873705075942,40.526398187968,38.472848685119,42.051829412163,32.19842703192,29.366513914008,23.674517315921,27.632813825726,30.999966271035,35.522779217189,38.525546166476,40.341551641277,37.970146551147,39.659315355579,47.686102853251,54.362833039772,52.442479687893,48.905584945429,46.315168421628,44.775337660195,43.846651458126
Honduras,236.54302884745,135.41477198144,123.1966267961,111.73685433695,85.496497757888,65.378485476102,64.642801153175,70.841291550636,67.421128121285,75.758277955853,65.757522624499,63.417279499574,64.247954291198,67.756911109343,60.905697214744,55.605862613276,39.201780606233,24.021863515234,22.323490508745,23.482098458302,22.745594663594,24.586315410663,29.18051815697,39.434076629872,37.054419152575,37.114014070421,38.174187893223,38.911551399914,40.08331342417,40.287189984954,45.956831034591,50.418775138128,52.365677768395,53.851796863293,53.710292459878,51.090524535849
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.2776310409523,3.5230150905751,1.5808766934391,1.5033884237025,1.3901290406112,1.1414557556149,1.0339347160404,0.87587838510371,0.662139807971,0.61832692273875,0.57343043113746,0.54320565448651,0.51744292411013,0.065321097277614,0.062104140085605,0.059254583147082,0.055302776404914,0.051874062434833,0.2685831995385,0.29027458486078,0.2721514394383,0.25503481356611,0.2420894368186,0,0
Hungary,no data,no data,no data,no data,no data,84.043883962311,71.295009129769,61.897649684874,59.92424650128,59.830044925279,55.08498465782,51.652496639327,54.918971181309,57.397112368257,58.339196232259,60.245354343559,64.201908357847,65.200242835314,71.175560161684,77.37047676295,80.640891859308,80.812346897968,78.557563748941,77.355391376263,76.800640039973,76.152533128741,75.497544609645,72.902669975793,70.232942558338,66.344424188457,77.419654938463,75.868882181088,73.219320922968,69.835932771955,66.448994580529,63.478090554094
Iceland,35.459521437149,37.575186119692,45.357887588866,52.241602351279,54.752331267577,58.007086311846,55.174835306,51.969958550688,43.481947020703,38.915717975111,37.228289278499,42.392957753526,39.079702898245,38.05628619822,32.732595738371,24.47716032302,29.002134493801,27.053710072997,66.145518464141,80.920857404232,85.383438581136,92.031325116132,89.369228589005,81.788926992969,78.770279133471,65.030549951437,51.248887968218,43.246229468962,37.375940513149,36.997369764275,51.732462752414,52.528615820699,52.746981530809,52.86818136742,52.514176941403,53.096311472598
India,no data,75.332241792701,77.40538509326,76.978197148712,73.464402129741,69.653842821364,65.976646551418,67.818039304772,68.089899399788,70.038467816405,73.649085254909,78.729651704508,82.851174203813,84.243037314993,83.288599696218,80.893793970651,77.108313349721,74.026517958065,72.743970734593,71.093873719286,66.035636971809,68.292827446994,67.658235719393,67.379374683982,66.82715670708,68.775815466055,68.711542283382,69.423077227216,69.575074273169,72.343947248573,89.32982975913,89.855912253988,89.517216131227,89.021651540761,88.551989461774,88.155317529564
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.437298742237,73.702114950111,62.339381035066,55.642691628054,51.328172495401,42.611727208196,35.84773408699,32.333333348848,30.252037460226,26.483125740783,24.524582718246,23.106017753941,22.960397492741,24.846707578167,24.681631265084,27.013303956079,27.955460877551,29.395537141337,30.069103728201,30.489708698515,38.477024529703,41.828455305212,43.181299520269,43.260663285337,43.168241101422,43.068241101422
Iran,no data,no data,no data,no data,no data,no data,22.204163756517,19.063920790748,21.671411195101,15.930974833753,11.034312690938,11.683945892766,21.578952471247,19.451380144291,16.200906786721,12.96934840955,11.884564994918,11.374548898121,9.0592873454551,11.324969121815,12.713315913692,9.0757424667738,12.126348518473,10.715442396758,11.822378297841,39.717381719788,46.15312969603,38.1867452405,40.326511558129,44.743011300257,45.366975259274,40.434589619645,39.20969223852,38.640770942729,38.502095986568,38.349710662233
Ireland,92.710957045229,93.818458788474,90.620628331579,93.423707480815,88.072263216751,78.568344559999,69.874683139304,61.61478683372,51.449704510109,46.627929561051,36.126018739258,33.233917313636,30.543165758572,29.924432903288,28.187052937338,26.082740218752,23.642999767317,23.920680260374,42.40979642275,61.671124254778,86.022998377708,111.08451652566,120.03651908537,120.06288817279,104.30496861281,76.733991741356,74.196377058153,67.410703519608,62.914793684165,57.331078043517,63.676103240062,61.253831789565,59.227249314836,55.804478853837,52.512340875403,49.239391251582
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,79.579023057735,83.670047752227,90.159463702883,92.771559417242,91.232028458029,88.110727033099,80.009208183628,72.95598510847,71.814646917338,74.540313081082,70.614604573759,68.797704926093,68.453269331612,67.097004947755,65.746168622958,63.826212337991,62.113252941157,60.607445125755,60.876913234141,59.978716885528,76.520523539681,80.002417233032,81.41991343315,82.238583794977,82.646826677372,82.682562849214
Italy,101.32792137214,104.91257631764,112.5424310812,123.63998522251,130.33947935379,119.3621210956,119.10931739257,116.78204398192,114.12689576206,113.28954881466,109.02576130898,108.88632951421,106.36048343318,105.49461422693,105.10087308582,106.55755924305,106.74295592093,103.89264571103,106.15619466325,116.60218759669,119.20101981097,119.69527328483,126.49623636154,132.4585134345,135.36870047714,135.28270371008,134.78219847186,134.14501843552,134.80835345222,134.80383628924,161.84911944091,158.30523351891,156.56936074759,154.8742210276,153.82976836265,152.56777635792
Japan,64.304188370409,63.492261393038,67.993641927565,74.191490293886,84.992414328973,95.897719151437,101.03441016084,106.67657039086,117.94099761876,131.1203963885,137.89091067882,146.8320851296,156.82421351579,162.73064821216,171.55498780629,176.62472628602,176.27111084371,175.32328157744,183.28170247219,200.87611669843,207.68212105829,221.88053765463,228.67503062387,232.23690342634,235.78550078229,231.33986348711,236.39425981986,234.46219014782,236.56845173929,237.95480014088,266.17579597279,263.96782397497,263.04504733694,262.78501256235,263.01578335573,263.98513099674
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.591869802613,14.962493983163,11.39156865925,8.0994918917416,6.6673103970062,5.8736246915709,6.7658700668522,10.227029408661,10.68273524745,10.161007351995,12.125266622063,12.602507931827,14.496344233042,21.881937361806,19.677354055078,19.869432221263,20.258539658378,19.943735916411,23.441281886169,24.107987622057,25.339936473642,26.241436093501,28.019449069157,29.770475822544
