"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2008-Q2","Q2-2008","PC","Percentage","0","Units",,,6.37074206333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2008-Q3","Q3-2008","PC","Percentage","0","Units",,,5.95831027666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2008-Q4","Q4-2008","PC","Percentage","0","Units",,,4.790563853,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2009-Q1","Q1-2009","PC","Percentage","0","Units",,,4.222159091,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2009-Q2","Q2-2009","PC","Percentage","0","Units",,,5.02431746033333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2009-Q3","Q3-2009","PC","Percentage","0","Units",,,5.44823748366667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2009-Q4","Q4-2009","PC","Percentage","0","Units",,,5.46333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,5.55166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,5.53416666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,5.03916666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,5.33916666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,5.52166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,5.3325,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,4.57166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,4.0925,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,3.97166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,3.37666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2012-Q3","Q3-2012","PC","Percentage","0","Units",,,3.05583333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2012-Q4","Q4-2012","PC","Percentage","0","Units",,,3.1125,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,3.46916666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,3.33666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,3.87,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,4.11333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,4.13333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,3.83666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,3.47666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,3.18,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,2.54,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,2.75666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,2.77333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,2.77333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,2.59333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,2.32,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,1.93333333333333,,
